Fiscal Year,State,Status,Name,Individuals who are still being served as of October 1,Additional individuals who were served during the year,Total individuals served,Individuals with more than one intervention opened/closed FY,Individual still being served as of September 30
2014,Nebraska,Published,Nebraska Vocational Rehabilitation,6,18,24,0,2
2014,New Hampshire,Published,GOVERNOR`S COMMISSION ON DISABILITY,16,12,28,2,8
2014,Oklahoma,Published,Oklahoma Office of Disability Concerns,11,43,54,0,5
2014,Oregon,Published,Disability Rights Oregon formerly OAC,11,27,38,1,8
2014,Pennsylvania,Published,Center for Disability Law & Policy,72,125,197,1,66
2014,Puerto Rico,Published,OFFICE OF THE OMBUDSMAN FOR PERSONS WITH DISABILIT,89,152,241,16,107
2014,South Carolina,Published,Governor`s Office Client Assistance Program,6,118,124,13,10
2014,South Dakota,Published,South Dakota Advocacy Services,3,17,20,0,0
2014,Tennessee,Published,Disability Law & Advocacy Center of Tennessee,8,25,33,1,4
2014,Texas,Published,Disability Rights Texas,121,161,282,282,0
2014,Utah,Published,Disability Law Center,9,171,180,180,13
2014,Virgin Islands,Published,Disability Rights Center of the Virgin Islands,7,12,19,0,11
2014,Vermont,Published,Vermont Client Assistance Program,27,24,51,10,24
2014,Washington,Published,Client Assistance Program,41,190,231,0,36
2014,Wisconsin,Published,Wisconsin Client Assistance Program,28,160,188,9,38
2014,West Virginia,Published,West Virginia Advocates,5,18,23,1,3
2014,Wyoming,Published,"Protection & Advocacy System, Inc.",0,10,10,0,4
2014,Alaska,Published,Alaska State Department of Education,8,16,24,0,8
2014,Indiana,Published,Indiana Protection and Advocacy Services,13,22,35,2,4
2014,New Jersey,Published,Disability Rights New Jersey,41,52,93,2,56
2014,New Mexico,Published,Disability Rights New Mexico,7,20,27,0,7
2014,Nevada,Published,Nevada Disability Advocacy & Law Center,5,33,38,0,16
2014,Rhode Island,Published,RHODE ISLAND DISABILITY LAW CENTER INC.,28,16,44,2,36
2014,Virginia,Published,disAbility Law Center of Virginia,6,57,63,4,9
2014,District of Columbia,Published,"University Legal Services, Inc.",2,43,45,1,13
2014,Ohio,Published,Disability Rights Ohio,28,121,149,8,8
2014,New York,Published,Disability Rights New York (DRNY),132,218,350,10,193
2015,Northern Marianas,Published,NMPASI,8,9,17,0,6
2015,Massachusetts,Published,Massachusetts Office on Disability,30,100,130,1,18
2015,Alabama,Published,Alabama Department of Rehabilitation Services,4,24,28,0,3
2015,Arkansas,Published,Disability Rights Center of Arkansas,10,21,31,1,4
2015,American Samoa,Published,Office of Protection and Advocacy for the Disabled,0,8,8,16,1
2015,Arizona,Published,Arizona Center for Disability Law,50,74,124,7,39
2015,Colorado,Published,Center for Legal Advocacy,18,6,24,1,6
2015,Connecticut,Published,Protection and Advocacy for Persons with Disabilit,11,15,26,1,14
2015,Delaware,Published,"United Cerebral Palsy of Delaware, Inc.",7,11,18,2,4
2015,Florida,Published,Disability Rights Florida,35,138,173,15,20
2015,Georgia,Published,Martin & Jones,57,61,118,3,54
2015,Guam,Published,PARENTS-AGENCIES NETWORKING INC. (PAN INC),23,31,54,15,54
2015,Hawaii,Published,HAWAII DISABILITY RIGHTS CENTER,28,50,78,0,25
2015,Iowa,Published,Iowa Client Assistance Program,8,27,35,0,10
2015,Idaho,Published,"Disability Rights Idaho, Inc.",6,22,28,1,8
2015,Illinois,Published,Illinois Department of Human Services,14,125,139,0,6
2015,Kansas,Published,The Disability Rights Center of Kansas,15,63,78,2,17
2015,Kentucky,Published,Kentucky Client Assistance Program,11,28,39,0,11
2015,Louisiana,Published,Advocacy Center,30,70,100,5,37
2015,Maryland,Published,Maryland Division of Rehabilitation Services -DORS,15,98,113,0,25
2015,Maine,Published,Bureau of Rehabilitation Services,40,41,81,0,29
2015,Michigan,Published,Michigan Protection & Advocacy Service Inc.,25,97,122,10,51
2015,Minnesota,Published,Mid-Minnesota Legal Assistance,21,32,53,0,28
2015,Missouri,Published,Missouri Protection & Advocacy Services,26,31,57,6,22
2015,Mississippi,Published,Mississippi Society for Disabilities,2,21,23,0,2
2015,Montana,Published,Disability Rights Montana,34,46,80,6,17
2015,North Carolina,Published,Department of Health and Human Services,26,104,130,0,22
2015,North Dakota,Published,Division of Vocational Rehabilitation,26,23,49,1,30
2015,Nebraska,Published,Nebraska Vocational Rehabilitation,2,30,32,0,3
2015,New Hampshire,Published,GOVERNOR`S COMMISSION ON DISABILITY,5,8,13,13,5
2015,Oregon,Published,Disability Rights Oregon formerly OAC,10,44,54,2,17
2015,Pennsylvania,Published,Center for Disability Law & Policy,66,124,190,3,70
2015,Puerto Rico,Published,OFFICE OF THE OMBUDSMAN FOR PERSONS WITH DISABILIT,107,126,233,25,107
2015,South Carolina,Published,"Office of the Governor, Client Assistance Program",11,91,102,16,0
2015,South Dakota,Published,South Dakota Advocacy Services,1,13,14,0,7
2015,Tennessee,Published,Disability Rights Tennessee,4,85,89,1,24
2015,Texas,Published,Disability Rights Texas,104,169,273,24,105
2015,Utah,Published,Disability Law Center,32,126,158,9,21
2015,Virgin Islands,Published,Disability Rights Center of the Virgin Islands,10,17,27,0,17
2015,Vermont,Published,Vermont Client Assistance Program,24,23,47,2,13
2015,Washington,Published,Client Assistance Program,41,130,171,0,48
2015,Wisconsin,Published,Wisconsin Client Assistance Program,38,169,207,9,46
2015,West Virginia,Published,West Virginia Advocates,3,15,18,0,5
2015,Wyoming,Published,"Protection & Advocacy System, Inc.",4,8,12,0,3
2015,Alaska,Published,Alaska State Department of Education and Early Dev,7,5,12,0,3
2015,California,Published,Disability Rights California,152,633,785,93,156
2015,Indiana,Published,Indiana Protection and Advocacy Services,4,19,23,1,8
2015,New Jersey,Published,Disability Rights New Jersey,56,51,107,3,48
2015,New Mexico,Published,Disability Rights New Mexico,10,17,27,0,6
2015,Nevada,Published,Nevada Disability Advocacy & Law Center,18,28,46,2,10
2015,Rhode Island,Published,RHODE ISLAND DISABILITY LAW CENTER INC.,35,19,54,1,38
2015,District of Columbia,Published,"University Legal Services, Inc.",13,27,40,2,17
2015,Ohio,Published,Disability Rights Ohio,8,126,134,13,27
2015,Virginia,Published,disAbility Law Center of Virginia,9,83,92,6,20
2015,Oklahoma,Published,Oklahoma Office of Disability Concerns,11,47,58,0,4
2015,New York,Published,Disability Rights New York (DRNY),185,200,385,23,157
2015,New Mexico,Published,Native American Disability Law Center,0,6,6,0,6
2015,South Carolina,Published,Department of Admin. Client Assistance Program,0,32,32,1,8
2016,Northern Marianas,Published,NMPASI,5,11,16,0,8
2016,Massachusetts,Published,Massachusetts Office on Disability,18,76,94,0,23
2016,Alabama,Published,Alabama Department of Rehabilitation Services,4,43,47,0,13
2016,Arkansas,Published,"Disability Rights Arkansas, Inc.",4,18,22,3,4
2016,American Samoa,Published,Office of Protection and Advocacy for the Disabled,3,18,21,4,0
2016,Arizona,Published,Arizona Center for Disability Law,38,84,122,2,56
2016,Colorado,Published,Center for Legal Advocacy,6,16,22,0,9
2016,Connecticut,Published,Protection and Advocacy for Persons with Disabilit,14,22,36,2,26
2016,Delaware,Published,"United Cerebral Palsy of Delaware, Inc.",5,9,14,2,3
2016,Florida,Published,Disability Rights Florida,20,153,173,7,33
2016,Georgia,Published,Martin & Jones,54,96,150,5,56
2016,Guam,Published,PARENTS-AGENCIES NETWORKING INC. (PAN INC),29,34,63,26,63
2016,Hawaii,Published,HAWAII DISABILITY RIGHTS CENTER,28,29,57,1,15
2016,Iowa,Published,Iowa Client Assistance Program,10,19,29,0,6
2016,Idaho,Published,"Disability Rights Idaho, Inc.",4,29,33,4,4
2016,Illinois,Published,Illinois Department of Human Services,6,58,64,0,2
2016,Kansas,Published,The Disability Rights Center of Kansas,19,48,67,3,21
2016,Kentucky,Published,Kentucky Client Assistance Program,8,19,27,0,8
2016,Louisiana,Published,Advocacy Center,36,56,92,95,44
2016,Maryland,Published,Maryland Division of Rehabilitation Services -DORS,25,87,112,0,18
2016,Maine,Published,Bureau of Rehabilitation Services,32,67,99,3,26
2016,Michigan,Published,Michigan Protection & Advocacy Service Inc.,37,78,115,0,39
2016,Minnesota,Published,Mid-Minnesota Legal Assistance,26,26,52,15,23
2016,Missouri,Published,Missouri Protection & Advocacy Services,22,32,54,0,20
2016,Mississippi,Published,Mississippi Society for Disabilities,0,29,29,0,2
2016,Montana,Published,Disability Rights Montana,18,50,68,3,31
2016,North Carolina,Published,Department of Health and Human Services,22,69,91,0,21
2016,North Dakota,Published,Division of Vocational Rehabilitation,21,15,36,2,24
2016,Nebraska,Published,Nebraska VR (Vocational Rehabilitation),3,24,27,1,1
2016,New Hampshire,Published,GOVERNOR`S COMMISSION ON DISABILITY,5,15,20,14,3
2016,Oregon,Published,Disability Rights Oregon formerly OAC,18,42,60,3,26
2016,Pennsylvania,Published,Center for Disability Law & Policy,70,125,195,1,75
2016,Puerto Rico,Published,EXECUTIVE OFFICE OF THE COMMONWEALTH OF PUERTORICO,114,91,205,16,89
2016,South Carolina,Published,Department of Admin. Client Assistance Program,8,112,120,15,12
2016,South Dakota,Published,South Dakota Advocacy Services,7,13,20,1,4
2016,Tennessee,Published,Disability Rights Tennessee,24,47,71,4,21
2016,Texas,Published,Disability Rights Texas,101,174,275,11,111
2016,Utah,Published,Disability Law Center,20,83,103,3,15
2016,Virgin Islands,Published,Disability Rights Center of the Virgin Islands,15,4,19,19,11
2016,Vermont,Published,Vermont Client Assistance Program,13,30,43,3,13
2016,Washington,Published,Client Assistance Program,48,160,208,0,16
2016,Wisconsin,Published,Wisconsin Client Assistance Program,47,124,171,2,42
2016,West Virginia,Published,West Virginia Advocates,5,16,21,1,10
2016,Wyoming,Published,"Protection & Advocacy System, Inc.",3,15,18,1,12
2016,Alaska,Published,Alaska State Department of Education and Early Dev,2,3,5,1,3
2016,California,Published,Disability Rights California,156,563,719,27,113
2016,Indiana,Published,Indiana Protection and Advocacy Services,8,34,42,0,12
2016,New Jersey,Published,Disability Rights New Jersey,48,53,101,4,61
2016,New Mexico,Published,Disability Rights New Mexico,5,25,30,3,7
2016,Nevada,Published,Nevada Disability Advocacy & Law Center,10,22,32,0,5
2016,Rhode Island,Published,RHODE ISLAND DISABILITY LAW CENTER INC.,38,16,54,2,33
2016,District of Columbia,Published,"University Legal Services, Inc.",16,18,34,2,12
2016,Ohio,Published,Disability Rights Ohio,27,127,154,8,34
2016,Virginia,Published,disAbility Law Center of Virginia,20,78,98,10,10
2016,Oklahoma,Published,Oklahoma Office of Disability Concerns,4,64,68,0,7
2016,New York,Published,Disability Rights New York (DRNY),154,235,389,33,93
2016,New Mexico,Published,Native American Disability Law Center,4,2,6,0,4
2017,Northern Marianas,Published,NMPASI,8,6,14,0,6
2017,Massachusetts,Published,Massachusetts Office on Disability,23,67,90,2,23
2017,Alabama,Published,Alabama Department of Rehabilitation Services,13,31,44,0,15
2017,Arkansas,Published,"Disability Rights Arkansas, Inc.",4,32,36,3,10
2017,American Samoa,Published,Office of Protection and Advocacy for the Disabled,2,16,18,5,1
2017,Arizona,Published,Arizona Center for Disability Law,56,79,135,8,44
2017,Colorado,Published,Center for Legal Advocacy,9,20,29,0,7
2017,Connecticut,Published,Protection and Advocacy for Persons with Disabilit,26,19,45,0,5
2017,Delaware,Published,"United Cerebral Palsy of Delaware, Inc.",6,13,19,2,9
2017,Florida,Published,Disability Rights Florida,33,173,206,10,48
2017,Georgia,Published,Martin & Jones,54,33,87,2,60
2017,Guam,Published,EDMUND CRUZ,19,28,47,15,47
2017,Hawaii,Published,HAWAII DISABILITY RIGHTS CENTER,17,31,48,2,16
2017,Iowa,Published,Iowa Client Assistance Program,6,24,30,0,5
2017,Idaho,Published,"DisAbility Rights Idaho, Inc.",3,26,29,2,5
2017,Illinois,Published,Illinois Department of Human Services,2,66,68,0,4
2017,Kansas,Published,Disability Rights Center of Kansas,20,58,78,78,8
2017,Kentucky,Published,Kentucky Client Assistance Program,9,8,17,0,7
2017,Louisiana,Published,Advocacy Center,38,43,81,81,3
2017,Maryland,Published,Maryland Division of Rehabilitation Services -DORS,18,98,116,1,26
2017,Maine,Published,Bureau of Rehabilitation Services,32,77,109,4,38
2017,Michigan,Published,Michigan Protection & Advocacy Service Inc.,35,61,96,6,25
2017,Minnesota,Published,Mid-Minnesota Legal Assistance,21,33,54,17,29
2017,Missouri,Published,Missouri Protection & Advocacy Services,20,43,63,0,28
2017,Mississippi,Published,Mississippi Society for Disabilities,2,20,22,0,3
2017,Montana,Published,Disability Rights Montana,29,37,66,3,21
2017,North Carolina,Published,Department of Health and Human Services,21,80,101,0,23
2017,North Dakota,Published,Division of Vocational Rehabilitation,24,16,40,2,9
2017,Nebraska,Published,Nebraska VR (Vocational Rehabilitation),1,18,19,0,4
2017,New Hampshire,Published,GOVERNOR`S COMMISSION ON DISABILITY,3,21,24,24,0
2017,Oregon,Published,Disability Rights Oregon formerly OAC,24,28,52,0,19
2017,Pennsylvania,Published,Center for Disability Law & Policy,75,126,201,0,98
2017,Puerto Rico,Published,EXECUTIVE OFFICE OF THE COMMONWEALTH OF PUERTO RIC,89,35,124,7,71
2017,South Carolina,Published,Department of Admin. Client Assistance Program,12,45,57,3,0
